,body,cites_papers
0,"Washing men's feet  gender, care and migration in Albania during and after communism",[3798508]
1,"Washing men's feet  gender, care and migration in Albania during and  after communism, J  Vullnetari and  R  King",[3798508]
2,"Study  The ""New Father"" and marked changes in perceptions of men's parenting roles over time",[3831803]
3,"""Mothers and fathers were viewed as becoming more alike from the past to the present and continuing into the",[3831803]
4,Modern and  future dads are perceived as much more 'maternal' in personality and  behavior than 1950's dads   masculinity,[3831803]
5,Fathers viewed as becoming increasingly maternal in their  parenting roles and  traits,[3831803]
6,New on   Where Women Rebel,[3859732]
7,"My IFJP article ""Where Women Rebel""--now ungated through April 2016",[3859732]
8,"My new article in IFJP is live! It's also soon-to-be-ungated  So if you don't have access now, you will soon",[3859732]
9,Compare the NYT profile with my findings here  Women's involvement with IS is very much in line with global trends,[3859732]
10,Punished for  feminism? Men who do feminist activism are subjected to more sexual  harassment in the workplace,[3928626]
11,An understudied topic  new study on Sexual Harassment Against Men,[3928626]
12,"New  workplace sexual harassment of men ""punishment for men who deviate fm prescriptions of traditional masculinity""",[3928626]
13,Link to study   SexualHarassment,[3928626]
14,Men are sexually harassed by women in the workplace too   sexualharassment,[3928626]
15,Study  Both hetero and  homosexual men reported similar levels of sexual  harassment by women,[3928626]
16,How do young people 'do' gender and safety on a night out? New  ARCSHS research by,[4644935]
17,Does the  Motherhood  WagePenalty Differ by Individual Skill and Country  FamilyPolicy?  Europe,[4737506]
18,Does the Motherhood Wage Penalty Differ by Individual Skill and Country Family Policy? A Longitudinal Study of Ten,[4737506]
19,Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
20,Differences in confidence in expertise and  discomfort with editing partly explain gender gap in Wikipedia contribution,[4949436]
21,Differences in confidence in expertise and  discomfort with editing partly explain gender gap in Wikipedia contribution ht,[4949436]
22,New publication    springerlink,[4949436]
23,confidence in expertise and discomfort with editing linked to a smaller number of women vs men  writing in wikipedia,[4949436]
24,Understanding the Different Psychological Experiences of Men and Women in Wikipedia,[4949436]
25,Where are the women in Wikipedia? Understanding the different psychological experiences  gender  wikipedia,[4949436]
26,3 Compare this  open access,[4949436]
27,"If you require  highered students to edit Wikipedia, are the men or women more likely to benefit?   ITTSII16",[4949436]
28,"Effects of diversity  costs of affirmative action not fully accounted for    ""Case study""","[6156712,4949436]"
29,Only 13% of Wikipedia contributors are women  Pathetic women?  Try the adjusted wage gap,[4949436]
30,That's pretty interesting  Cf  Wikipedia entries,[4949436]
31,"Incidentally, Wiki-women",[4949436]
32,Compare,[4949436]
33,1 Go thru bar on the right,[4949436]
34,"- Consider ""Wikipedia entrepreneurship"", easy ""market"" access, no funding problems","[4538619,4949436]"
35,2 Applies to comedy,[4949436]
36,"Here, build sth w/ these four","[4538619,1093697,4949436]"
37,2 These two provide further perspective,[4949436]
38,2 Or just absorve how it works out when single men and women pursue preferences and compete,[4949436]
39,4 Read on,"[4538619,1093697,4949436,3085925]"
40,1 Why did other professions fail at that? Also compare this,[4949436]
41,"Using the Dual Control Model to Study the Rel'p b/w Mood, Genital    Self-Reported Sexual Arousal in Men and Women",[4956008]
42,"Using the Dual Control Model to Study the Rel'p b/w Mood, Genital    Self-Reported Sexual Arousal in Men and Women htt",[4956008]
43,Feeling vigorous X being prone to sexual excitement predicts genital arousal in women and subjective arousal in men,[4956008]
44,"For gays in China, effect found for left-handedness but not fraternal birth order-small   of siblings to blame?",[4956476]
45,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population  a   LGBT  LGBTQ",[4956476]
46,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population  a   LGBT  LGBTQ  queer",[4956476]
47,"""proportion of women n scientific field = more similar stereotypes of scientists n field were to those about women""",[4966609]
48,On the similarity between  stereotypes about women / men and  stereotypes about successful  scientists  womeninscience,[4966609]
49,On the similarity between  stereotypes about women / men and  stereotypes about successful  scientists,[4966609]
50,Prof  Linda Carli's research  stereotypes about women may lead to discrimination in STEM   IWD2016  PLEDGEFORPARITY,[4966609]
51,Stereotypes About Gender and Science,[4966609]
52,How do gender stereotypes influence womens persistent underrepresentation in STEM?  STEM  WomenInSTEM  gendergap,[4966609]
53,New study shows despite more  WomenInScience still perceived to lack qualities needed to be successful scientists,[4966609]
54,New study shows despite more  WomenInScience still perceived to lack qualities needed to be successful scientists ,[4966609]
55,Are women less successful scientists than men? No! But stereotypes exist,[4966609]
56,Are women less successful scientists than men? No! But stereotypes exist   ,[4966609]
57,Check out our interview with Linda Carli about gender stereotypes and  science  STEM  GenderStereotypes  womeninscience,[4966609]
58,Stereotypes About Gender and Science  Women  Scientists    Psychology  Gender  Stereotypes,[4966609]
59,SAGEpsychology Stereotypes About Gender and Science  Women  Scientists PWQ4U  Psychology  Gender  Stereotypes,[4966609]
60,"""article addresses the need for a multidimensional understanding of  rape acknowledgment""  paywall  womensvoices",[4966618]
61,A Listening Guide Analysis of Womens Experiences of Unacknowledged Rape,[4966618]
62,Both sexes perform less housework in countries where public opinion supports gender equality,[4973114]
63,Both sexes perform less housework in countries where public opinion supports gender equality ,[4973114]
64,See my newest paper on gender and warbots!,[4979302]
65,Great piece by Heather Roff on gender and robots - Gendering a Warbot,[4979302]
66,Why are warbots so dangerous? Answer  They could reinforce gender norms,[4979302]
67,Guess womyn will still have menial tasks when the transhumanists win,[4979302]
68,Sexology in Portugal  Narratives by Portuguese Sexologists,[4982430]
69,""" In Portugal,  sexology is not seen as a full-fledged profession   """,[4982430]
70,Help-seeking and  needs of male victims of IPV  menshealth  domesticviolence,[4982977]
71,"Military masculinity, movies, and the &lt em DSM&lt /em   Narratives of institu     Psychiatry",[4984167]
72,Relative influence of various forms of partner violence on the health of      Psychiatry,[4984179]
73,"Survey  any given year, 40-50% of all victims of physical  partner  violence are men",[4984179]
74,Females can be  violent towards their  partners by destroying property or throwing things,[4984179]
75,Relative Influence of Various Forms of Partner Violence on the Health of Male Victims   DV,[4984179]
76,The Sexual Desire Inventory  Two or three dimensions?,[4984977]
77,Interesting commentary by   on  Camperio Ciani's article  A Problematic Test of the Kin Selection Hypothesis,[4984986]
78,Interesting commentary by   on  Camperio Ciani's article  A Problematic Test of the Kin Selection Hypothesis h,[4984986]
